,Latitude,Longtitude
0,59.415420,24.699463
1,59.415404,24.699571
2,59.415387,24.699638
3,59.415352,24.699604
4,59.415302,24.699550
5,59.415268,24.699510
6,59.415150,24.699378
7,59.415066,24.699285
8,59.414962,24.699173
9,59.414883,24.699189
10,59.414801,24.699124
11,59.414755,24.699382
12,59.414719,24.699613
13,59.414428,24.700873
14,59.414244,24.701677
15,59.414004,24.702793
16,59.413811,24.703506
17,59.413789,24.703929
18,59.413630,24.704419
19,59.413426,24.705354
20,59.413313,24.705933
21,59.413143,24.706646
22,59.412927,24.707470
23,59.413415,24.707848
24,59.413755,24.708182
25,59.414106,24.708361
26,59.414695,24.708873
27,59.415182,24.709118
28,59.415602,24.709385
29,59.415885,24.709519
30,59.415580,24.709526
31,59.415929,24.709655
32,59.416388,24.709891
33,59.416835,24.710148
34,59.416944,24.710284
35,59.417352,24.710597
36,59.417727,24.710887
37,59.418056,24.711132
38,59.418453,24.711466
39,59.418986,24.711935
40,59.419367,24.712269
41,59.419608,24.712577
42,59.419872,24.712841
43,59.420416,24.713329
44,59.420788,24.713629
45,59.421284,24.714079
46,59.42162,24.714397
47,59.421799,24.714491
48,59.422362,24.715002
49,59.422896,24.715422
50,59.423380,24.715917
51,59.423784,24.716346
52,59.424286,24.716668
53,59.424668,24.717054
54,59.424745,24.717033
55,59.425061,24.71741
56,59.425334,24.717677
57,59.425607,24.717956
58,59.425836,24.718106
59,59.425978,24.719157
60,59.425913,24.719353
61,59.425837,24.719691
62,59.425794,24.720072
63,59.425665,24.720665
64,59.425547,24.721194
65,59.425385,24.721829
66,59.425353,24.722231
67,59.425267,24.722634
68,59.425557,24.722400
69,59.425762,24.722252
70,59.426053,24.721934
71,59.426265,24.721845
