106,JMK Marine OÜ/ YAMAHA Paadikeskus,59.54110670000000,24.8080826
107,Haaber-Auto OÜ,59.5078357,24.8230869
108,Veega Grupp OÜ,59.501512,24.8192168
109,Orhidaalia lillepood - Viimsi,59.50552200000000,24.8284224
110,Polarex Baltic OÜ,59.50150530000000,24.8475058
111,KJaiatehnika,59.50762530000000,24.82161440000000
112,Viimsi Kaubahoov,59.5064191,24.8318089
113,Charlot,59.50660420000000,24.8307147
114,Barrel Grupp OÜ,59.53935620000000,24.8000901
115,Rohuneeme A ja O,59.5506186,24.795534
116,Gildemann OÜ,59.5226908,24.8080267
117,Multipipe OÜ,59.5421447,24.8058974
118,Aalux Rehvid,59.5550917,24.7948672
119,Benu Viimsi Marketi Pharmacy,59.50568820000000,24.8284078
120,Kohvik Haabneeme,59.5129406,24.8197179
121,Klaarsuse Kristallistuudio,59.5157902,24.8219928
122,Haabneeme Konsum,59.512899,24.8198158
123,Neste,59.50469,24.829405
124,DISAINTEPING OÜ,59.50425910000000,24.8391787
125,Seashore Production OÜ,59.5098094,24.8249723
126,Viimsi Turg,59.50992710000000,24.8251592
127,Benu apteek,59.51012120000000,24.8254428
128,Meepott OÜ,59.5132255,24.8286482
129,Delux Line,59.5068479,24.8309126
130,EETP OÜ,59.524198,24.848896
131,Paadi ehituse OÜ,59.4999042,24.81641790000000
132,Viimsi CityAlko,59.5062668,24.8260666
133,Pepekala,59.5061759,24.8266375
134,Apotheka Viimsi Keskus,59.5049409,24.8265459
135,Hansaekspert OÜ,59.50286210000000,24.8402125
136,Apollo,59.50484830000000,24.8267016
137,Goldtime Viimsi | Ehted ja käekellad,59.50472380000000,24.8270566
138,Sportland Viimsi,59.5046741,24.8270454
139,Selver,59.5046654,24.8270607
140,Boatworld Ltd.,59.50129330000000,24.816912
141,Polarex Baltic OÜ,59.50150530000000,24.8475058
142,Steming oü,59.5222782,24.896564
143,Hessen DI OÜ,59.50385240000000,24.826565
144,Orhidaalia lillepood - Viimsi,59.50552200000000,24.8284224
145,Veega Grupp OÜ,59.501512,24.8192168
146,Haaber-Auto OÜ,59.5078357,24.8230869
147,Viimsi Lihatööstuse OÜ,59.51554850000000,24.815631
148,JMK Marine OÜ/ YAMAHA Paadikeskus,59.54110670000000,24.8080826
149,Five Plus Ltd.,59.5303317,24.8764113
150,DISAINTEPING OÜ,59.50425910000000,24.8391787
151,Viimsi Kaubahoov,59.5064191,24.8318089
152,Hansaekspert OÜ,59.50286210000000,24.8402125
153,KJaiatehnika,59.50762530000000,24.82161440000000
154,Charlot,59.50660420000000,24.8307147
155,EETP OÜ,59.524198,24.848896
156,www.lastetoad.com,59.4981141,24.8355832
157,Benu Viimsi Marketi Pharmacy,59.50568820000000,24.8284078
158,Neste,59.50469,24.829405
159,Delux Line,59.5068479,24.8309126
160,Loverte (JOOST-LEVEL OÜ),59.52354160000000,24.8479062
161,Klaarsuse Kristallistuudio,59.5157902,24.8219928
162,Meepott OÜ,59.5132255,24.8286482
163,Gildemann OÜ,59.5226908,24.8080267
164,Haabneeme Konsum,59.512899,24.8198158
165,Kohvik Haabneeme,59.5129406,24.8197179
166,Multipipe OÜ,59.5421447,24.8058974
167,Benu apteek,59.51012120000000,24.8254428
168,Viimsi Turg,59.50992710000000,24.8251592
169,Seashore Production OÜ,59.5098094,24.8249723
170,Barrel Grupp OÜ,59.53935620000000,24.8000901
171,Hawaii Express Viimsi kauplus,59.5066169,24.8311562
172,RIKETS flowers,59.5064191,24.8318089
173,Albatros Textile Viimsi kardinasalong,59.50590200000000,24.8303181
174,Viimsi CityAlko,59.5062668,24.8260666
175,Pepekala,59.5061759,24.8266375
176,Viimsi Rimi hyper,59.505616,24.828235
177,MiroModo OÜ,59.50502950000000,24.8310545
178,Maxima X,59.5049897,24.8296905
179,JAKARI Marine Ltd.,59.46663000000000,24.8256371
180,Hot Lips Erootikakaubamaja,59.45581200000000,24.9458766
181,Steming oü,59.5222782,24.896564
182,Muuga KS OÜ,59.4809715,24.9580051
183,Polarex Baltic OÜ,59.50150530000000,24.8475058
184,Five Plus Ltd.,59.5303317,24.8764113
185,EETP OÜ,59.524198,24.848896
186,Premium Horse,59.54538220000000,24.8836442
187,Hessen DI OÜ,59.50385240000000,24.826565
188,Loverte (JOOST-LEVEL OÜ),59.52354160000000,24.8479062
189,Araxes Nurga,59.4876209,25.0192133
190,DISAINTEPING OÜ,59.50425910000000,24.8391787
191,Hansaekspert OÜ,59.50286210000000,24.8402125
192,Orhidaalia lillepood - Viimsi,59.50552200000000,24.8284224
193,Lasteriieteladu e-pood,59.488204,24.882891
194,Lasteriieteladu,59.487995,24.8823628
195,Viimsi Kaubahoov,59.5064191,24.8318089
196,Haaber-Auto OÜ,59.5078357,24.8230869
197,Charlot,59.50660420000000,24.8307147
198,Autovaruosad. Autoosad24 OÜ,59.48608240000000,24.8691838
199,BP Motors OÜ,59.503263,24.8396661
200,Kummiproff.ee,59.5032811,24.8395623
201,MSS Group Ltd.,59.474461,24.8912898
202,Maardu Selver,59.48721810000000,25.0181131
203,Apotheka,59.4869429,25.0181177
204,Viimsi Lihatööstuse OÜ,59.51554850000000,24.815631
205,Meepott OÜ,59.5132255,24.8286482
206,Delux Line,59.5068479,24.8309126
207,www.lastetoad.com,59.4981141,24.8355832
208,Benu Viimsi Marketi Pharmacy,59.50568820000000,24.8284078
209,Neste,59.50469,24.829405
210,RIKETS flowers,59.5064191,24.8318089
