,0,1,2
124,Maarjamäe Kommunismiohvrite Memoriaal,59.4566501,24.8137212
125,Pirita terviserada,59.4633566,24.855573
126,Pirita Harbour Camping,59.4671451,24.8245121
127,Poolamäe Park,59.4259455,24.7598885
128,Tiigiveski park,59.42759340000001,24.758884
129,Lembitu park,59.4316046,24.7554837
130,Kodu Park,59.4228697,24.7537845
131,Naissaare peo-ja reisilaev Monica,59.4463666,24.7489146
132,Kaarli Boulevard,59.43261469999999,24.7418443
133,RMK külastuskorraldusosakond,59.43604,24.733026
134,Tuvi Park,59.42885139999999,24.7387232
135,Kuberneri (Governor's) Garden,59.43500770000001,24.7380089
136,Linnahaljastus OÜ,59.4314949,24.7133869
137,Maidla Lilled OÜ,59.4986173,24.8316536
138,Juhani Puukool - Viimsi Istikuäri,59.49832669999999,24.8279489
139,Oravamäe Park,59.3923554,24.7244956
140,Arctic Spas OÜ,59.5037244,24.826573
141,Põhjarand,59.58558549999999,24.7498074
142,Aegna saar,59.583956,24.75849789999999
143,Sihiotsaalune,59.58357350000001,24.78023469999999
144,Sharp-edged stone,59.5822967,24.7743918
145,Kultusekivi Aegnal hiidtahn,59.5820067,24.772985
146,Tulekivi hiidrahn,59.58191590000001,24.7741956
147,Aegna loodusrada,59.573726,24.75716989999999
148,Pandju islet,59.5504682,24.78444739999999
149,"Aegna MKA, Kurikneeme sihtkaitsevöönd",59.5815835,24.7473467
150,Rohuneeme maastikukaitseala,59.5534,24.8184196
151,Danish King's Garden,59.4357013,24.7409474
152,Deer's Park,59.4335267,24.7369198
153,Haljassaare puukool,59.4106153,24.663327
154,Linnahaljastus OÜ,59.4314949,24.7133869
155,RMK külastuskorraldusosakond,59.43604,24.733026
156,Tuvi Park,59.42885139999999,24.7387232
157,Kaarli Boulevard,59.43261469999999,24.7418443
158,Kuberneri (Governor's) Garden,59.43500770000001,24.7380089
159,Lembitu park,59.4316046,24.7554837
160,Tiigiveski park,59.42759340000001,24.758884
161,Kodu Park,59.4228697,24.7537845
162,Poolamäe Park,59.4259455,24.7598885
163,Naissaare peo-ja reisilaev Monica,59.4463666,24.7489146
164,Japanese Garden in Kadriorg Park,59.4419347,24.7992996
165,Avipoint Ltd.,59.41571399999999,24.678099
166,Oravamäe Park,59.3923554,24.7244956
167,Maarjamäe Kommunismiohvrite Memoriaal,59.4566501,24.8137212
168,Park area of Õismäe pond,59.4146888,24.6482894
169,Pirita Harbour Camping,59.4671451,24.8245121
170,Pääsküla bog trail,59.3658531,24.7088347
171,Pirita terviserada,59.4633566,24.855573
172,Harku forest trails,59.3857,24.6277
173,Juhani Puukool - Viimsi Istikuäri,59.49832669999999,24.8279489
174,Maidla Lilled OÜ,59.4986173,24.8316536
175,Arctic Spas OÜ,59.5037244,24.826573
176,Kadriorg Park,59.437682,24.7900499
177,Tallinn City Camping,59.44841820000001,24.8083111
178,Tammsaare Park,59.4357426,24.7524123
179,Tallinn Botanic Garden,59.4698307,24.878362
180,Tõnismäe haljak,59.4312398,24.7397976
181,Hõlmikpuuhaljak,59.4301784,24.7451404
182,Ameerika kogukonnaaed,59.42661390000001,24.7379908
183,Harjumäe park,59.4338164,24.7416222
184,Falgi Park,59.4330416,24.7334459
185,Lindamäe Park,59.4343963,24.7371828
186,Komandandi Garden,59.4349996,24.7405531
187,Georg Otsa purskkaev,59.4343911,24.745939
188,Harju Street park,59.4353873,24.7436097
189,Iceland Square,59.43297479999999,24.7535219
190,Koidu Mänguväljak,59.4218976,24.7374394
191,Danish King's Garden,59.4357013,24.7409474
192,Deer's Park,59.4335267,24.7369198
193,Japanese Garden in Kadriorg Park,59.4419347,24.7992996
194,Maarjamäe Kommunismiohvrite Memoriaal,59.4566501,24.8137212
195,Pirita terviserada,59.4633566,24.855573
196,Pirita Harbour Camping,59.4671451,24.8245121
197,Poolamäe Park,59.4259455,24.7598885
198,Tiigiveski park,59.42759340000001,24.758884
199,Lembitu park,59.4316046,24.7554837
200,Kodu Park,59.4228697,24.7537845
201,Naissaare peo-ja reisilaev Monica,59.4463666,24.7489146
202,Kaarli Boulevard,59.43261469999999,24.7418443
203,RMK külastuskorraldusosakond,59.43604,24.733026
204,Tuvi Park,59.42885139999999,24.7387232
205,Kuberneri (Governor's) Garden,59.43500770000001,24.7380089
206,Linnahaljastus OÜ,59.4314949,24.7133869
207,Maidla Lilled OÜ,59.4986173,24.8316536
208,Juhani Puukool - Viimsi Istikuäri,59.49832669999999,24.8279489
209,Oravamäe Park,59.3923554,24.7244956
210,Arctic Spas OÜ,59.5037244,24.826573
211,Pirita terviserada,59.4633566,24.855573
212,Kallavere suur park,59.4720355,25.0218815
213,Kallavere koerte jalutusplats,59.4753158,25.0254162
214,Pirita Harbour Camping,59.4671451,24.8245121
